,rewards
0,50.0
1,9.0
2,9.0
3,21.0
4,9.0
5,10.0
6,27.0
7,9.0
8,9.0
9,11.0
10,10.0
11,9.0
12,38.0
13,11.0
14,21.0
15,27.0
16,18.0
17,15.0
18,18.0
19,23.0
20,21.0
21,9.0
22,23.0
23,30.0
24,13.0
25,9.0
26,22.0
27,33.0
28,61.0
29,41.0
30,33.0
31,39.0
32,25.0
33,24.0
34,34.0
35,29.0
36,11.0
37,12.0
38,23.0
39,46.0
40,22.0
41,25.0
42,29.0
43,30.0
44,27.0
45,16.0
46,21.0
47,20.0
48,18.0
49,16.0
50,10.0
51,40.0
52,23.0
53,21.0
54,30.0
55,42.0
56,51.0
57,31.0
58,29.0
59,24.0
60,21.0
61,12.0
62,25.0
63,33.0
64,10.0
65,33.0
66,21.0
67,23.0
68,16.0
69,28.0
70,25.0
71,30.0
72,25.0
73,29.0
74,53.0
75,13.0
76,14.0
77,31.0
78,24.0
79,30.0
80,22.0
81,23.0
82,8.0
83,51.0
84,40.0
85,8.0
86,9.0
87,23.0
88,9.0
89,13.0
90,10.0
91,10.0
92,34.0
93,12.0
94,39.0
95,16.0
96,10.0
97,11.0
98,10.0
99,28.0
100,25.0
101,27.0
102,16.0
103,27.0
104,9.0
105,16.0
106,26.0
107,8.0
108,9.0
109,12.0
110,9.0
111,25.0
112,19.0
113,20.0
114,23.0
115,22.0
116,30.0
117,13.0
118,41.0
119,9.0
120,8.0
121,42.0
122,23.0
123,11.0
124,9.0
125,23.0
126,16.0
127,8.0
128,27.0
129,34.0
130,32.0
131,8.0
132,9.0
133,9.0
134,29.0
135,9.0
136,23.0
137,20.0
138,12.0
139,14.0
140,28.0
141,9.0
142,29.0
143,27.0
144,18.0
145,9.0
146,31.0
147,13.0
148,9.0
149,17.0
150,8.0
151,28.0
152,35.0
153,46.0
154,10.0
155,29.0
156,9.0
157,13.0
158,9.0
159,22.0
160,9.0
161,9.0
162,32.0
163,37.0
164,26.0
165,51.0
166,28.0
167,10.0
168,38.0
169,30.0
170,11.0
171,14.0
172,14.0
173,15.0
174,10.0
175,16.0
176,11.0
177,9.0
178,18.0
179,15.0
180,19.0
181,9.0
182,26.0
183,25.0
184,27.0
185,10.0
186,23.0
187,16.0
188,22.0
189,14.0
190,30.0
191,8.0
192,9.0
193,28.0
194,24.0
195,27.0
196,8.0
197,33.0
198,14.0
199,14.0
200,33.0
201,10.0
202,26.0
203,21.0
204,16.0
205,28.0
206,9.0
207,26.0
208,15.0
209,13.0
210,17.0
211,8.0
212,27.0
213,22.0
214,15.0
215,12.0
216,27.0
217,16.0
218,55.0
219,27.0
220,56.0
